Unnamed: 0,ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,url
36,8425C2D133,서울특별시 성동구 마장동,몽실******,,서울 성동구,한식-육류/고기,마장동,20110506,,
37,21C4BDD140,서울특별시 성동구 마장동,순대**,,서울 성동구,한식-국밥/설렁탕,마장동,20051223,,
38,11B0AA1C3B,서울특별시 성동구 마장동,동원**,,서울 성동구,한식-단품요리일반,왕십리,20011022,,
39,E6AE130DD5,서울특별시 성동구 마장로,마장*****,,서울 성동구,한식-육류/고기,,20111109,,
40,EE8D458B93,서울특별시 성동구 무학로,와이***********,,서울 성동구,축산물,,20121109,,
41,1F5C564B04,서울특별시 성동구 상원길,맛드*,,서울 성동구,반찬,뚝섬,20130410,,
42,69EE47A25B,서울특별시 성동구 상원길,피자********,피자8,서울 성동구,피자,뚝섬,20121231,,
43,6E87D8EF74,서울특별시 성동구 상원길,담바*,,서울 성동구,한식-육류/고기,뚝섬,20140318,,
44,82F292A867,서울특별시 성동구 송정동,델리**,,서울 성동구,식료품,,20090904,,
45,BDEBB09D4F,서울특별시 성동구 송정동,본토****,,서울 성동구,한식-육류/고기,,20100817,,
46,9D085B6A2F,서울특별시 성동구 용답동,동부**,,서울 성동구,백반/가정식,장한평자동차,20110329,,
47,6D8F7BBA89,서울특별시 성동구 용답동,고향**,,서울 성동구,한식-단품요리일반,장한평자동차,20030421,,
48,5B646D947B,서울특별시 성동구 응봉동,풀무*********,식료품3,서울 성동구,식료품,,20120608,,
49,875116B12A,서울특별시 성동구 응봉동,단아**,,서울 성동구,떡/한과 제조,,20070417,,
50,21752D89FB,서울특별시 성동구 행당동,영*,,서울 성동구,건강식품,행당,20090316,,
51,80E637212D,서울특별시 성동구 행당동,에스******,,서울 성동구,커피전문점,행당,20110808,,
52,CEF3D93273,서울특별시 성동구 행당동,종로**,,서울 성동구,떡/한과 제조,행당,20061026,,
53,33361C935B,서울특별시 성동구 행당동,만두**,,서울 성동구,한식-국수/만두,행당,20101112,,
54,E1C897591D,서울특별시 성동구 행당동,코페*,,서울 성동구,한식-단품요리일반,한양대,20061023,,
55,1F7ECE7D49,서울특별시 성동구 행당동,아폴*********,,서울 성동구,한식-단품요리일반,왕십리,20110105,,
56,25D2E98F3A,서울특별시 성동구 행당동,무탁****,,서울 성동구,한식-단품요리일반,왕십리,20111107,,
57,66A39F4442,서울특별시 성동구 홍익동,정은****,,서울 성동구,한식-육류/고기,왕십리,20100408,,
58,3E96264C22,서울특별시 성동구 홍익동,맛나**,,서울 성동구,한식-찌개/전골,왕십리,20060216,,
61,8749D150F3,서울특별시 성동구 상원6길,오가******,,서울 성동구,한식-해물/생선,뚝섬,20111103,,
62,5BE883AA16,서울특별시 성동구 옥수2동,극동*****,,서울 성동구,축산물,,19941128,,
63,94C8165F35,서울특별시 성동구 옥수2동,전주*******,,서울 성동구,백반/가정식,옥수,19981207,,
64,ED815EC186,서울특별시 성동구 옥수2동,양지***,,서울 성동구,한식-육류/고기,옥수,20000607,,
65,FBDA2A8798,서울특별시 성동구 옥수2동,장군**,,서울 성동구,한식-육류/고기,옥수,20021109,,
66,147235F3A5,서울특별시 성동구 옥수2동,돈까*,,서울 성동구,일식-덮밥/돈가스,옥수,20070314,,
67,167F268F8E,서울특별시 성동구 행당1동,돔카*,,서울 성동구,카페,왕십리,20110525,,
68,7C3795DF2D,서울특별시 성동구 행당1동,한양***********,,서울 성동구,식료품,한양대,20090311,,
69,E9EB56D7EC,서울특별시 성동구 행당1동,한양***,,서울 성동구,한식-육류/고기,한양대,20100719,,
70,55B4F11C0E,서울특별시 성동구 행당2동,김밥**,,서울 성동구,분식,행당,20101011,,
71,C75AC23756,서울특별시 성동구 행당2동,대림****,,서울 성동구,축산물,행당,20000627,,
72,4DEDE7CD03,서울특별시 성동구 금호동2가,닭한*****,,서울 성동구,한식-육류/고기,신금호,20041102,,
73,8F1003CA95,서울특별시 성동구 금호동3가,귀일**,,서울 성동구,분식,금남시장,20160315,,
101,3B0F367222,서울특별시 성동구 성수동2가,맛닭******,치킨18,서울 성동구,치킨,성수,20000906,,
102,4208C4C0A7,서울특별시 성동구 성수동2가,삼오***,,서울 성동구,식품 제조,성수,20160729,,
103,838461E308,서울특별시 성동구 성수동2가,찐짜**,,서울 성동구,백반/가정식,성수,20150824,,
104,E8E75C90BA,서울특별시 성동구 성수동2가,20****,,서울 성동구,한식-해물/생선,성수,20090804,,
105,37FE3D6CC0,서울특별시 성동구 성수동2가,빙아********,,서울 성동구,아이스크림/빙수,성수,20230421,,
114,C64FD46BFC,서울특별시 성동구 행당로 38,덕흥***,,서울 성동구,축산물,,20001012,,
116,3C97811992,서울특별시 성동구 무수막길,강정***,,서울 성동구,치킨,신금호,20091029,,
117,1527B8DFD5,서울특별시 성동구 무수막길,미스***,치킨21,서울 성동구,치킨,신금호,20121023,,
118,224AE94A24,서울특별시 성동구 상원12길,예*,,서울 성동구,백반/가정식,뚝섬,20121022,,
167,B3E898AB24,서울특별시 성동구 마조로 34,본도*********,도시락2,서울 성동구,도시락,한양대,20141120,,
181,8532D4C362,서울특별시 성동구 사근동11길,그린******,,서울 성동구,카페,,20230223,,
183,3D05D0CBE9,서울특별시 성동구 상왕십리동,일미**********,한식-육류/고기21,서울 성동구,한식-육류/고기,,20140812,,
184,E961D9800C,서울특별시 성동구 상왕십리동,옐로************,,서울 성동구,한식-단품요리일반,,20211109,,
201,F42D0B483B,서울특별시 성동구 성수1가1동,동부**,,서울 성동구,축산물,성수,20140212,,
219,17725DC7CA,서울특별시 성동구 금호동1가,종로**,,서울 성동구,떡/한과 제조,,20090206,,
220,3849F9A089,서울특별시 성동구 금호동1가,우촌****,,서울 성동구,한식-육류/고기,,20060704,,
221,E2AF8DDCAD,서울특별시 성동구 금호동1가,태능****,,서울 성동구,한식-육류/고기,,20071005,,
222,C21A5454F4,서울특별시 성동구 금호동2가,우리**,,서울 성동구,미곡상,신금호,20110314,,
223,15EE2AE836,서울특별시 성동구 금호동3가,조아*******,,서울 성동구,담배,금남시장,20110127,,
224,9676392FCC,서울특별시 성동구 금호동3가,은진***,,서울 성동구,건어물,금남시장,20090324,,
225,4B2AF6047C,서울특별시 성동구 금호동3가,은성**,,서울 성동구,한식-육류/고기,금남시장,20031013,,
226,DA3D8B1FB0,서울특별시 성동구 금호동4가,브레*****,,서울 성동구,건강식품,,19980124,,
227,E4313DDAAD,서울특별시 성동구 금호동4가,곽가*****,,서울 성동구,백반/가정식,금남시장,20110520,,
228,AC70EA0FCD,서울특별시 성동구 금호산2길,중화*,,서울 성동구,중식당,금남시장,20150619,,
229,6E584F4319,서울특별시 성동구 마조로5길,시선*****,,서울 성동구,포장마차,한양대,20121228,,
230,FF39E0223D,서울특별시 성동구 무학로2길,오븐******,치킨25,서울 성동구,치킨,왕십리,20121017,,
231,BE646F48C4,서울특별시 성동구 무학로8길,카페***,,서울 성동구,카페,왕십리,20140627,,
232,2889D57BC9,서울특별시 성동구 성수동2가,영남***,,서울 성동구,식품 제조,성수,20111214,20250731.0,
351,6F97F23CDB,서울특별시 성동구 성수1가1동,한*,,서울 성동구,양식,성수,20020425,,
352,314D411B19,서울특별시 성동구 성수1가1동,비어**,,서울 성동구,치킨,성수,20030507,,
353,BBE10BA891,서울특별시 성동구 성수1가1동,초원**,,서울 성동구,백반/가정식,,20071120,,
354,C9EC8F7695,서울특별시 성동구 성수1가1동,장원**,,서울 성동구,백반/가정식,성수,20090304,,
355,B2A570260C,서울특별시 성동구 성수1가2동,청록***,,서울 성동구,식품 제조,뚝섬,19981111,,
356,00BC189C4B,서울특별시 성동구 성수1가2동,땅끝******,,서울 성동구,한식-해물/생선,뚝섬,20030221,,
357,A7CC40BE1E,서울특별시 성동구 성수1가2동,죽변*,,서울 성동구,한식-해물/생선,뚝섬,20040715,,
358,811AC91E1F,서울특별시 성동구 성수2가1동,김밥**,,서울 성동구,분식,성수,20080220,,
359,B3116E5135,서울특별시 성동구 성수2가1동,장미***,,서울 성동구,치킨,성수,20100305,,
360,E5E8F3F456,서울특별시 성동구 성수2가1동,뚝섬***,,서울 성동구,건강원,성수,20040823,,
361,91988A5415,서울특별시 성동구 성수2가1동,파리***,베이커리10,서울 성동구,베이커리,성수,20011217,,
362,87EDAB1CB3,서울특별시 성동구 성수2가1동,머니**,,서울 성동구,호프/맥주,성수,20000705,,
363,B3517137A0,서울특별시 성동구 성수2가1동,명원***,,서울 성동구,한식-육류/고기,,20100506,,
364,995EDF27A3,서울특별시 성동구 성수2가3동,파리*********,베이커리10,서울 성동구,베이커리,성수,20030624,,
365,8219FA9E99,서울특별시 성동구 성수2가3동,동맛******,,서울 성동구,한식-국수/만두,성수,20071220,,
366,A117CDA53E,서울특별시 성동구 성수2가3동,옛골***,,서울 성동구,한식-단품요리일반,성수,19900228,,
368,14FE0A442F,서울특별시 성동구 하왕십리동,엘림****,,서울 성동구,떡/한과 제조,,20090224,,
370,F7C857EF14,서울특별시 성동구 고산자로 263,거창**,,서울 성동구,한식-육류/고기,왕십리,20020531,,
399,5C14F5FBA3,서울특별시 성동구 뚝섬로 327 ,도미********,피자2,서울 성동구,피자,,20140410,,
498,E03321589B,서울특별시 성동구 성덕정길 74,앙심*****,,서울 성동구,한식-육류/고기,성수,20150527,,
570,F15C05A1D9,서울특별시 성동구 행당로8길 5,신사*******,,서울 성동구,이자카야,행당,20160719,,
571,A162796238,서울특별시 성동구 광나루로6길,깡통*,,서울 성동구,한식-육류/고기,,20130502,,
575,29B5BE80D4,서울특별시 성동구 성수이로7길,원할***********,한식-육류/고기19,서울 성동구,한식-육류/고기,성수,20140226,,
576,4FECCA34D6,서울특별시 성동구 하왕십리1동,동순*,,서울 성동구,중식당,,20060425,,
577,25B2D74E6B,서울특별시 성동구 하왕십리2동,멕시***,치킨20,서울 성동구,치킨,,20020130,,
578,B0E400DBAB,서울특별시 성동구 하왕십리2동,기분****,,서울 성동구,한식-해물/생선,왕십리,20030124,,
643,AE9397E158,서울특별시 성동구 마장로29길 54,맛자*,,서울 성동구,분식,마장동,20091113,,
648,C67A90C6B4,서울특별시 성동구 마장로37길 40,이영**,,서울 성동구,축산물,,20150730,20230822.0,
743,6E89CF4713,서울특별시 성동구 송정12나길 20,니드**,,서울 성동구,한식-단품요리일반,,20201020,,
783,D140A43C4D,서울특별시 성동구 용답25길 6-11,금성**,,서울 성동구,농산물,답십리,20150119,,
786,622D27CE49,서울특별시 성동구 용답중앙길 12,대광**,,서울 성동구,미곡상,답십리,20050411,,
812,3C92DED4C1,서울특별시 성동구 독서당로40길,신의*****,한식-육류/고기16,서울 성동구,한식-육류/고기,옥수,20121010,,
813,1095E71AA8,서울특별시 성동구 마장로35다길,대용**,,서울 성동구,축산물,마장동,20111101,,
840,FA6BD5D16F,서울특별시 성동구 마장로26길 16,왕십****,,서울 성동구,한식-찌개/전골,왕십리,20140828,,
867,6466B7724E,서울특별시 성동구 마장로40길 10,추억*******,,서울 성동구,한식-국수/만두,,20140219,,
912,134895DA5B,서울특별시 성동구 성수일로 11-2,키베***,,서울 성동구,베이커리,성수,20180319,,
949,EED0404EC2,서울특별시 성동구 왕십리로30길 8,자연*****,,서울 성동구,농산물,,20160504,,
982,AB9E1046C2,서울특별시 성동구 행당로3길 18,우리**,,서울 성동구,청과물,,20120424,,
1017,C605E52DD9,서울특별시 성동구 금호산10길 4-9,금호**,,서울 성동구,식료품,금남시장,20140519,,
1036,ED9B54E9A4,서울특별시 성동구 독서당로 303-4,금호***,,서울 성동구,건강원,금남시장,20211102,,
1060,AFFE78AA17,서울특별시 성동구 마장로37길 53-9,사랑**,,서울 성동구,축산물,마장동,20161006,,
1137,DCF5AF5EC7,서울특별시 성동구 왕십리로 221-5,포싸**,,서울 성동구,한식-단품요리일반,한양대,20151209,,
1173,6138A3EEB7,서울특별시 성동구 행당로13길 2-1,아*,,서울 성동구,요리주점,행당,20190813,,
1427,5417C5A2AE,서울특별시 성동구 마장로37길 53-9,회*,,서울 성동구,축산물,마장동,20160511,,
1435,1C9BB3C08A,서울특별시 성동구 성덕정15길 2-12,영수**,,서울 성동구,한식-육류/고기,성수,20140912,,
1488,C9FDD0D766,서울특별시 성동구 왕십리로24길 11,썬더**,치킨23,서울 성동구,치킨,왕십리,20090729,,
1628,C919038375,서울특별시 성동구 마장로 292,보배**,,서울 성동구,한식-육류/고기,,20201012,,
1694,2B2CDD8A48,서울특별시 성동구 행당로 102,골드**,,서울 성동구,축산물,행당,20220502,,
1733,AC8D66E0C8,서울특별시 성동구 마장로31길 24-12,골목*,,서울 성동구,백반/가정식,마장동,20081001,,
1768,A4D5BDDEDF,서울특별시 성동구 자동차시장1길 82,제일**,,서울 성동구,백반/가정식,답십리,20121204,,
1769,202F736EBC,서울특별시 성동구 자동차시장1길 90,화목***,,서울 성동구,백반/가정식,장한평자동차,20131202,,
1867,5183626392,서울특별시 성동구 사근동길 54,압구**********,,서울 성동구,한식-찌개/전골,한양대,20190904,,
1896,79892ACBB1,서울특별시 성동구 상원길 38-1,메가*********,커피전문점2,서울 성동구,커피전문점,뚝섬,20220616,,
2307,48B6DB988C,서울특별시 성동구 뚝섬로 420-4,호경***,,서울 성동구,백반/가정식,,20180420,,
2458,B53EDBB2ED,서울특별시 성동구 상원6나길 14,에그******,,서울 성동구,한식-단품요리일반,뚝섬,20200226,,
2533,17251C4F10,서울특별시 성동구 송정4가길 65,성수*****,,서울 성동구,한식-단품요리일반,,20200429,,
2767,2402B1EA00,서울특별시 성동구 자동차시장1길 82,장안**,,서울 성동구,백반/가정식,답십리,20120316,,
2832,AB7C12DD2E,서울특별시 성동구 마장로33길 13,덕유**,,서울 성동구,축산물,,20190617,,
2878,00FDB35E9C,서울특별시 성동구 마조로15길 19,작은**,,서울 성동구,카페,,20190129,,
2932,EE91547CA3,서울특별시 성동구 무학봉길 42-1,반디****,,서울 성동구,양식,,20240925,,
2987,D354915A15,서울특별시 성동구 성수이로 30-3,뚝도**,,서울 성동구,한식-해물/생선,성수,20171121,,
2992,2E234CD1DD,서울특별시 성동구 성수이로 36-7,골목**,,서울 성동구,한식-단품요리일반,성수,20230823,,
3007,FDE93C77D7,서울특별시 성동구 송정12마길 23,대한**,,서울 성동구,식료품,,20200915,,
3067,460FC7898C,서울특별시 성동구 왕십리로 96-1,미국*********,,서울 성동구,햄버거,뚝섬,20240202,,
3080,65EF268E18,서울특별시 성동구 용답19길 12-1,육회************,,서울 성동구,한식-단품요리일반,답십리,20241113,,
3088,E2BDC284DA,서울특별시 성동구 용답25다길 23,푸른******,,서울 성동구,한식-해물/생선,답십리,20180608,20250723.0,
3118,614B42817C,서울특별시 성동구 무학로2나길 21-19,샘터**,,서울 성동구,백반/가정식,왕십리,20120503,,
3196,E7BA575772,서울특별시 성동구 독서당로 299-5,은성**,,서울 성동구,한식-육류/고기,금남시장,20180904,,
3425,26DE9DB5A2,서울특별시 성동구 왕십리로 221-5,묵사*,,서울 성동구,한식-단품요리일반,한양대,20200602,,
3539,A75CE5A018,서울특별시 성동구 고산자로24길 18,팔팔**,,서울 성동구,축산물,마장동,20201104,,
3540,9476AD97B9,서울특별시 성동구 고산자로24길 18,동백******,,서울 성동구,축산물,마장동,20211103,,
3541,40C78A09A2,서울특별시 성동구 고산자로24길 18,형제**,,서울 성동구,축산물,마장동,20221207,,
3602,975CAF71FE,서울특별시 성동구 마장로35길 48-9,용궁**,,서울 성동구,축산물,마장동,20170518,,
3622,75AC755E3E,서울특별시 성동구 마장로37길 45-6,동남**,,서울 성동구,축산물,마장동,20200528,,
3623,93D9B9CC54,서울특별시 성동구 마장로37길 47-1,삼성***,,서울 성동구,축산물,마장동,20240904,,
3681,D2FC15A5E1,서울특별시 성동구 성덕정15길 6-30,전사*,,서울 성동구,백반/가정식,성수,20181022,,
3684,9C2549FF31,서울특별시 성동구 성덕정15길 6-46,호호****,,서울 성동구,농산물,성수,20170906,,
3846,79DE8BB0B3,서울특별시 성동구 왕십리로21길 56,민서*,,서울 성동구,식료품,,20220228,,
3910,3C57E8E398,서울특별시 성동구 마장로37길 40 (마장동),온다***,,서울 성동구,축산물,,20231101,,
3925,9A56B5D116,서울특별시 성동구 독서당로 301-101,미*,,서울 성동구,백반/가정식,금남시장,20240709,,
3929,4FF5BC13EF,서울특별시 성동구 마장로33길 37-13,대박**,,서울 성동구,백반/가정식,마장동,20180315,,
3933,E24BAE6F44,서울특별시 성동구 마장로35다길 4-9,하경**,,서울 성동구,축산물,마장동,20211216,,
3960,696BDA4E25,서울특별시 성동구 왕십리로 지하300,제이***,,서울 성동구,식료품,왕십리,20240228,,
3961,605655C22D,서울특별시 성동구 왕십리로 지하300,어묵**********,,서울 성동구,한식-단품요리일반,왕십리,20231208,,
3978,D6BA8B518B,서울특별시 성동구 왕십리로30길 2-1,보리**,,서울 성동구,백반/가정식,왕십리,20230314,,
4043,43343735BB,서울특별시 성동구 천호대로 지하300,어묵**,,서울 성동구,식료품,답십리,20200826,,
4079,549B0B52D3,서울특별시 성동구 살곶이2가길 27-19,파로*,,서울 성동구,청과물,,20221117,,
4084,D5A688AFCD,서울특별시 성동구 아차산로13길 23-1,제일***,,서울 성동구,한식-국밥/설렁탕,,20210903,,
4156,667E63F3BC,서울특별시 성동구 청계천로12가길 6-24,금복**,,서울 성동구,식료품,,20190725,,
4165,FE3D949A0E,서울특별시 성동구 왕십리로 363-1 (하왕십리동),꼬치***,,서울 성동구,호프/맥주,,19991101,,
