,ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,url
36,8425C2D133,서울특별시 성동구 마장동,몽실******,,서울 성동구,한식-육류/고기,마장동,20110506,,
37,21C4BDD140,서울특별시 성동구 마장동,순대**,,서울 성동구,한식-국밥/설렁탕,마장동,20051223,,
38,11B0AA1C3B,서울특별시 성동구 마장동,동원**,,서울 성동구,한식-단품요리일반,왕십리,20011022,,
39,E6AE130DD5,서울특별시 성동구 마장로,마장*****,,서울 성동구,한식-육류/고기,,20111109,,
40,EE8D458B93,서울특별시 성동구 무학로,와이***********,,서울 성동구,축산물,,20121109,,
41,1F5C564B04,서울특별시 성동구 상원길,맛드*,,서울 성동구,반찬,뚝섬,20130410,,
42,69EE47A25B,서울특별시 성동구 상원길,피자********,피자8,서울 성동구,피자,뚝섬,20121231,,
43,6E87D8EF74,서울특별시 성동구 상원길,담바*,,서울 성동구,한식-육류/고기,뚝섬,20140318,,
44,82F292A867,서울특별시 성동구 송정동,델리**,,서울 성동구,식료품,,20090904,,
45,BDEBB09D4F,서울특별시 성동구 송정동,본토****,,서울 성동구,한식-육류/고기,,20100817,,
46,9D085B6A2F,서울특별시 성동구 용답동,동부**,,서울 성동구,백반/가정식,장한평자동차,20110329,,
47,6D8F7BBA89,서울특별시 성동구 용답동,고향**,,서울 성동구,한식-단품요리일반,장한평자동차,20030421,,
48,5B646D947B,서울특별시 성동구 응봉동,풀무*********,식료품3,서울 성동구,식료품,,20120608,,
49,875116B12A,서울특별시 성동구 응봉동,단아**,,서울 성동구,떡/한과 제조,,20070417,,
50,21752D89FB,서울특별시 성동구 행당동,영*,,서울 성동구,건강식품,행당,20090316,,
51,80E637212D,서울특별시 성동구 행당동,에스******,,서울 성동구,커피전문점,행당,20110808,,
52,CEF3D93273,서울특별시 성동구 행당동,종로**,,서울 성동구,떡/한과 제조,행당,20061026,,
53,33361C935B,서울특별시 성동구 행당동,만두**,,서울 성동구,한식-국수/만두,행당,20101112,,
54,E1C897591D,서울특별시 성동구 행당동,코페*,,서울 성동구,한식-단품요리일반,한양대,20061023,,
55,1F7ECE7D49,서울특별시 성동구 행당동,아폴*********,,서울 성동구,한식-단품요리일반,왕십리,20110105,,
56,25D2E98F3A,서울특별시 성동구 행당동,무탁****,,서울 성동구,한식-단품요리일반,왕십리,20111107,,
57,66A39F4442,서울특별시 성동구 홍익동,정은****,,서울 성동구,한식-육류/고기,왕십리,20100408,,
58,3E96264C22,서울특별시 성동구 홍익동,맛나**,,서울 성동구,한식-찌개/전골,왕십리,20060216,,
59,C1C06DF70A,서울특별시 성동구 마조로 9,설빙****,아이스크림/빙수2,서울 성동구,아이스크림/빙수,한양대,20140623,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%209/place/35257986?c=15.00,0,0,0,dh&isCorrectAnswer=true"
60,8ABD74319E,서울특별시 성동구 무학로 8,70******,,서울 성동구,룸살롱/단란주점,,20151116,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C%208/place/1727296619?c=15.00,0,0,0,dh&isCorrectAnswer=true"
61,8749D150F3,서울특별시 성동구 상원6길,오가******,,서울 성동구,한식-해물/생선,뚝섬,20111103,,
62,5BE883AA16,서울특별시 성동구 옥수2동,극동*****,,서울 성동구,축산물,,19941128,,
63,94C8165F35,서울특별시 성동구 옥수2동,전주*******,,서울 성동구,백반/가정식,옥수,19981207,,
64,ED815EC186,서울특별시 성동구 옥수2동,양지***,,서울 성동구,한식-육류/고기,옥수,20000607,,
65,FBDA2A8798,서울특별시 성동구 옥수2동,장군**,,서울 성동구,한식-육류/고기,옥수,20021109,,
66,147235F3A5,서울특별시 성동구 옥수2동,돈까*,,서울 성동구,일식-덮밥/돈가스,옥수,20070314,,
67,167F268F8E,서울특별시 성동구 행당1동,돔카*,,서울 성동구,카페,왕십리,20110525,,
68,7C3795DF2D,서울특별시 성동구 행당1동,한양***********,,서울 성동구,식료품,한양대,20090311,,
69,E9EB56D7EC,서울특별시 성동구 행당1동,한양***,,서울 성동구,한식-육류/고기,한양대,20100719,,
70,55B4F11C0E,서울특별시 성동구 행당2동,김밥**,,서울 성동구,분식,행당,20101011,,
71,C75AC23756,서울특별시 성동구 행당2동,대림****,,서울 성동구,축산물,행당,20000627,,
72,4DEDE7CD03,서울특별시 성동구 금호동2가,닭한*****,,서울 성동구,한식-육류/고기,신금호,20041102,,
73,8F1003CA95,서울특별시 성동구 금호동3가,귀일**,,서울 성동구,분식,금남시장,20160315,,
74,04BACBFB49,서울특별시 성동구 금호로 56,해장***,,서울 성동구,백반/가정식,금남시장,20070125,,-
75,5946F40892,서울특별시 성동구 금호로 62,교촌******,치킨6,서울 성동구,치킨,금남시장,20130325,,-
76,17FF425166,서울특별시 성동구 금호로 66,광주**,,서울 성동구,한식-해물/생선,,20020708,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2066/place/20934236?c=15.00,0,0,0,dh&isCorrectAnswer=true"
77,AB0716250B,서울특별시 성동구 동일로 83,와규**,,서울 성동구,한식-육류/고기,,20080515,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%2083/place/20715143?c=15.00,0,0,0,dh&isCorrectAnswer=true"
78,E9D4FB94A0,서울특별시 성동구 동일로 83,참나*****,,서울 성동구,한식-단품요리일반,,20100223,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%2083/place/1206180374?c=15.00,0,0,0,dh&isCorrectAnswer=true"
79,149BA1B7C7,서울특별시 성동구 마조로 11,써브******,샌드위치/토스트2,서울 성동구,샌드위치/토스트,한양대,20020121,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2011/place/1991840429?c=15.00,0,0,0,dh&isCorrectAnswer=true"
80,2AECA02B3A,서울특별시 성동구 마조로 17,대*,,서울 성동구,축산물,한양대,20020430,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2017/place/13496755?c=15.00,0,0,0,dh&isCorrectAnswer=true"
81,11A66B8033,서울특별시 성동구 마조로 17,돼지*,,서울 성동구,한식-육류/고기,한양대,20020321,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2017/place/1381590757?c=15.00,0,0,0,dh&isCorrectAnswer=true"
82,CE3D519C06,서울특별시 성동구 마조로 17,장어**,,서울 성동구,한식-해물/생선,한양대,20090617,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2017/place/33085421?c=15.00,0,0,0,dh&isCorrectAnswer=true"
83,03A222EE9D,서울특별시 성동구 마조로 17,놀란*,,서울 성동구,한식-단품요리일반,한양대,20140609,,-
84,946BE40BF1,서울특별시 성동구 마조로 25,토리********,,서울 성동구,일식당,한양대,20150911,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2025/place/1800275821?c=15.00,0,0,0,dh&isCorrectAnswer=true"
85,B2378AFA3D,서울특별시 성동구 마조로 29,성일***,,서울 성동구,한식-감자탕,한양대,20100217,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2029/place/1596722619?c=15.00,0,0,0,dh&isCorrectAnswer=true"
86,F512DF538E,서울특별시 성동구 마조로 31,맘스*******,햄버거2,서울 성동구,햄버거,한양대,20150831,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2031/place/37092795?c=15.00,0,0,0,dh&isCorrectAnswer=true"
87,C2207433F7,서울특별시 성동구 마조로 33,한솥***********,도시락3,서울 성동구,도시락,한양대,20100712,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2033/place/13539834?c=15.00,0,0,0,dh&isCorrectAnswer=true"
88,9350A78BD7,서울특별시 성동구 마조로 33,동방***,,서울 성동구,꼬치구이,한양대,20140721,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2033/place/32078474?c=15.00,0,0,0,dh&isCorrectAnswer=true"
89,661C7C734C,서울특별시 성동구 마조로 35,크로*******,,서울 성동구,베이커리,한양대,20020925,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2035/place/1035317164?c=15.00,0,0,0,dh&isCorrectAnswer=true"
90,43CE48A1CD,서울특별시 성동구 마조로 39,스마*,,서울 성동구,분식,한양대,20090303,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2039/place/17899114?c=15.00,0,0,0,dh&isCorrectAnswer=true"
91,0E2AE2C4F1,서울특별시 성동구 마조로 7,철*,,서울 성동구,백반/가정식,한양대,20160823,,-
92,7102ACD438,서울특별시 성동구 매봉길 2,인덕***,,서울 성동구,양식,옥수,20180117,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%A4%EB%B4%89%EA%B8%B8%202/place/1917586245?c=15.00,0,0,0,dh&isCorrectAnswer=true"
93,F80F79F599,서울특별시 성동구 매봉길 2,파파*****,피자7,서울 성동구,피자,옥수,20051130,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%A4%EB%B4%89%EA%B8%B8%202/place/11712743?c=15.00,0,0,0,dh&isCorrectAnswer=true"
94,FCBC740B1D,서울특별시 성동구 무학로 33,왕십**********,베이커리10,서울 성동구,베이커리,,20160419,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C%2033/place/37853341?c=15.00,0,0,0,dh&isCorrectAnswer=true"
95,D427F7C6AB,서울특별시 성동구 무학로 42,벽산****,,서울 성동구,포장마차,,20091202,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C%2042/place/20911315?c=15.00,0,0,0,dh&isCorrectAnswer=true"
96,7D6F493369,서울특별시 성동구 상원6길 5,춘천***,한식-육류/고기25,서울 성동구,한식-육류/고기,뚝섬,20000318,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9B%906%EA%B8%B8%205/place/1174162977?c=15.00,0,0,0,dh&isCorrectAnswer=true"
97,98BA99BFE9,서울특별시 성동구 상원8길 1,가든***,,서울 성동구,축산물,뚝섬,20090717,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9B%908%EA%B8%B8%201/place/1768899733?c=15.00,0,0,0,dh&isCorrectAnswer=true"
98,54529B6426,서울특별시 성동구 상원길 52,둘둘***********,치킨14,서울 성동구,치킨,뚝섬,20101101,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9B%90%EA%B8%B8%2052/place/12043978?c=15.00,0,0,0,dh&isCorrectAnswer=true"
99,3DD6585AD5,서울특별시 성동구 상원길 54,이흥***,,서울 성동구,한식-육류/고기,뚝섬,19990205,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9B%90%EA%B8%B8%2054/place/31378474?c=15.00,0,0,0,dh&isCorrectAnswer=true"
100,2B89D787CB,서울특별시 성동구 상원길 60,왕짜*,중식당3,서울 성동구,중식당,뚝섬,20181205,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9B%90%EA%B8%B8%2060/place/18785130?c=15.00,0,0,0,dh&isCorrectAnswer=true"
101,3B0F367222,서울특별시 성동구 성수동2가,맛닭******,치킨18,서울 성동구,치킨,성수,20000906,,
102,4208C4C0A7,서울특별시 성동구 성수동2가,삼오***,,서울 성동구,식품 제조,성수,20160729,,
103,838461E308,서울특별시 성동구 성수동2가,찐짜**,,서울 성동구,백반/가정식,성수,20150824,,
104,E8E75C90BA,서울특별시 성동구 성수동2가,20****,,서울 성동구,한식-해물/생선,성수,20090804,,
105,37FE3D6CC0,서울특별시 성동구 성수동2가,빙아********,,서울 성동구,아이스크림/빙수,성수,20230421,,
106,BEFB51F3ED,서울특별시 성동구 장터3길 8,뚱이***,,서울 성동구,한식-감자탕,금남시장,20150407,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%84%B03%EA%B8%B8%208/place/36637008?c=15.00,0,0,0,dh&isCorrectAnswer=true"
107,4349A8302A,서울특별시 성동구 장터길 23,롯데******,햄버거1,서울 성동구,햄버거,금남시장,20150812,20250818.0,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%84%B0%EA%B8%B8%2023/place/11824739?c=15.00,0,0,0,dh&isCorrectAnswer=true"
108,9AE54FE931,서울특별시 성동구 장터길 25,두레******,베이커리2,서울 성동구,베이커리,금남시장,20080325,,-
109,4EE6AA4F0F,서울특별시 성동구 장터길 30,먹거****,,서울 성동구,한식-육류/고기,금남시장,20110303,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%84%B0%EA%B8%B8%2030/place/31510398?c=15.00,0,0,0,dh&isCorrectAnswer=true"
110,0D30BE35C0,서울특별시 성동구 장터길 37,온달***,,서울 성동구,한식-육류/고기,금남시장,20150811,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%84%B0%EA%B8%B8%2037/place/20896274?c=15.00,0,0,0,dh&isCorrectAnswer=true"
111,99A8865F14,서울특별시 성동구 장터길 47,백미*,,서울 성동구,떡/한과 제조,금남시장,20011229,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%84%B0%EA%B8%B8%2047/place/11885049?c=15.00,0,0,0,dh&isCorrectAnswer=true"
112,D0ECE18966,서울특별시 성동구 장터길 47,진미**,,서울 성동구,한식-육류/고기,금남시장,20070214,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9E%A5%ED%84%B0%EA%B8%B8%2047/place/32625322?c=15.00,0,0,0,dh&isCorrectAnswer=true"
113,D333ECD384,서울특별시 성동구 장터길 49,은하*,,서울 성동구,룸살롱/단란주점,금남시장,20050913,,-
114,C64FD46BFC,서울특별시 성동구 행당로 38,덕흥***,,서울 성동구,축산물,,20001012,,
115,A4369EE806,서울특별시 성동구 행당로 79,비타***,,서울 성동구,반찬,행당,20151112,,-
116,3C97811992,서울특별시 성동구 무수막길,강정***,,서울 성동구,치킨,신금호,20091029,,
117,1527B8DFD5,서울특별시 성동구 무수막길,미스***,치킨21,서울 성동구,치킨,신금호,20121023,,
118,224AE94A24,서울특별시 성동구 상원12길,예*,,서울 성동구,백반/가정식,뚝섬,20121022,,
119,F1823DF685,서울특별시 성동구 금호로 151,포마***,분식19,서울 성동구,분식,신금호,20100624,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%20151/place/316685262?c=15.00,0,0,0,dh&isCorrectAnswer=true"
120,1361C9B25C,서울특별시 성동구 금호로 168,사와**,,서울 성동구,분식,신금호,20081229,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%20168/place/1809841908?c=15.00,0,0,0,dh&isCorrectAnswer=true"
121,0616E5FFD3,서울특별시 성동구 금호로 17,마테****,,서울 성동구,양식,금남시장,20150320,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2017/place/1428860313?c=15.00,0,0,0,dh&isCorrectAnswer=true"
122,F20A9C3F30,서울특별시 성동구 금호로 17,해*,,서울 성동구,한식-육류/고기,금남시장,20120402,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2017/place/36561359?c=15.00,0,0,0,dh&isCorrectAnswer=true"
123,E014ED20D7,서울특별시 성동구 금호로 17,유어***,,서울 성동구,한식-단품요리일반,금남시장,20131016,,-
124,77E78C7C26,서울특별시 성동구 금호로 40,금호**************,,서울 성동구,요리주점,,20161202,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2040/place/1352196665?c=15.00,0,0,0,dh&isCorrectAnswer=true"
125,88B36E48D9,서울특별시 성동구 금호로 45,필라*******,,서울 성동구,룸살롱/단란주점,금남시장,20020124,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2045/place/20888637?c=15.00,0,0,0,dh&isCorrectAnswer=true"
126,69BC027D6D,서울특별시 성동구 금호로 56,만족********,한식-육류/고기8,서울 성동구,한식-육류/고기,금남시장,20160822,,-
127,A7F9CAA110,서울특별시 성동구 금호로 66,대중*****,,서울 성동구,한식-육류/고기,,20151030,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2066/place/37379454?c=15.00,0,0,0,dh&isCorrectAnswer=true"
128,0286E31425,서울특별시 성동구 금호로 84,장미**,,서울 성동구,백반/가정식,,20150902,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2084/place/1086789398?c=15.00,0,0,0,dh&isCorrectAnswer=true"
129,C26F430D81,서울특별시 성동구 금호로 86,삼덕**,,서울 성동구,미곡상,,20130605,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2086/place/1180125337?c=15.00,0,0,0,dh&isCorrectAnswer=true"
130,AE28C5ED57,서울특별시 성동구 난계로 32,지코*******,치킨27,서울 성동구,치킨,,20230727,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%82%9C%EA%B3%84%EB%A1%9C%2032/place/1939471030?c=15.00,0,0,0,dh&isCorrectAnswer=true"
131,572B665575,서울특별시 성동구 난계로 35,이디***********,커피전문점6,서울 성동구,커피전문점,,20161123,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%82%9C%EA%B3%84%EB%A1%9C%2035/place/881992966?c=15.00,0,0,0,dh&isCorrectAnswer=true"
132,93F595E5D2,서울특별시 성동구 난계로 97,삼미**,,서울 성동구,한식-단품요리일반,,20150121,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%82%9C%EA%B3%84%EB%A1%9C%2097/place/1136212388?c=15.00,0,0,0,dh&isCorrectAnswer=true"
